gene,observed_count,null_total_count,null_mean_count_per_perm
MCCC2,0,38,0.076
MCEE,0,15,0.03
MCF2,0,98,0.196
MCF2L,0,102,0.204
MCF2L2,0,86,0.172
MCFD2,0,26,0.052
MDK,0,102,0.204
MDM1,0,37,0.074
MDM2,0,28,0.056
MEGF11,0,44,0.088
MED31,0,91,0.182
MED4,0,14,0.028
MED6,0,16,0.032
MED7,0,27,0.054
MED8,0,33,0.066
MED9,0,69,0.138
MEDAG,0,161,0.322
MEF2A,0,32,0.064
MEF2B,0,78,0.156
MEF2C,0,57,0.114
MEF2D,0,24,0.048
MEFV,0,88,0.176
MEG3,0,112,0.224
MEGF10,0,7,0.014
MEGF6,0,52,0.104
MDM4,0,38,0.076
MEGF8,0,14,0.028
MEGF9,0,83,0.166
MEI1,0,105,0.21
MEIG1,0,190,0.38
MEIS1,0,95,0.19
MEIS2,0,99,0.198
MEIS3,0,74,0.148
MEIS3P1,0,68,0.136
MELK,0,160,0.32
MEN1,0,54,0.108
MEOX1,0,94,0.188
MEOX2,0,58,0.116
MEP1A,0,119,0.238
MEP1B,0,165,0.33
MED30,0,16,0.032
MED29,0,17,0.034
MED28,0,10,0.02
MED27,0,23,0.046
MDN1,0,44,0.088
MDP1,0,52,0.104
MDS2,0,88,0.176
ME1,0,163,0.326
ME2,0,10,0.02
ME3,0,84,0.168
MEA1,0,99,0.198
MEAF6,0,24,0.048
MECOM,0,86,0.172
MECP2,0,53,0.106
MECR,0,132,0.264
MED1,0,40,0.08
MED10,0,26,0.052
MED11,0,25,0.05
MED12,0,45,0.09
MED12L,0,84,0.168
MED13,0,29,0.058
MED13L,0,25,0.05
MED14,0,28,0.056
MED15,0,108,0.216
MED16,0,107,0.214
MED17,0,1,0.002
MED19,0,80,0.16
MED20,0,76,0.152
MED22,0,86,0.172
MED23,0,49,0.098
MED24,0,50,0.1
MED25,0,55,0.11
MED26,0,104,0.208
MIP,0,39,0.078
MIPOL1,0,37,0.074
MRPS7,0,41,0.082
MRGPRX3,0,70,0.14
MPZL2,0,184,0.368
MPZL3,0,103,0.206
MR1,0,19,0.038
MRAP,0,20,0.04
MRAP2,0,59,0.118
MRAS,0,33,0.066
MRC1,0,87,0.174
MRC2,0,39,0.078
MRE11A,0,12,0.024
MREG,0,134,0.268
MRGBP,0,84,0.168
MRGPRF,0,62,0.124
MRGPRX1,0,84,0.168
MRGPRX2,0,142,0.284
MRGPRX4,0,37,0.074
MPZ,0,116,0.232
MRI1,0,77,0.154
MRM1,0,31,0.062
MRO,0,24,0.048
MROH1,0,146,0.292
MROH2A,0,59,0.118
MROH2B,0,34,0.068
MROH6,0,137,0.274
MROH7,0,78,0.156
MROH8,0,60,0.12
MROH9,0,112,0.224
MRPL1,0,13,0.026
MRPL10,0,96,0.192
MRPL11,0,120,0.24
MRPL12,0,83,0.166
MPZL1,0,60,0.12
MPV17L,0,156,0.312
MRPL14,0,63,0.126
MPL,0,58,0.116
MOV10,0,90,0.18
MOV10L1,0,39,0.078
MOXD1,0,109,0.218
MPC1,0,24,0.048
MPC2,0,33,0.066
MPDU1,0,126,0.252
MPDZ,0,27,0.054
MPEG1,0,118,0.236
MPG,0,109,0.218
MPHOSPH10,0,31,0.062
MPHOSPH6,0,64,0.128
MPHOSPH8,0,12,0.024
MPHOSPH9,0,10,0.02
MPI,0,46,0.092
MPLKIP,0,19,0.038
MPV17,0,42,0.084
MPND,0,64,0.128
MPO,0,90,0.18
MPP1,0,116,0.232
MPP2,0,97,0.194
MPP3,0,67,0.134
MPP4,0,165,0.33
MPP5,0,20,0.04
MPP6,0,73,0.146
MPP7,0,18,0.036
MPPE1,0,86,0.172
MPPED1,0,67,0.134
MPPED2,0,69,0.138
MPRIP,0,96,0.192
MPST,0,74,0.148
MRPL13,0,36,0.072
MRPL15,0,37,0.074
MIR10A,0,173,0.346
MRPS18C,0,51,0.102
MRPL52,0,96,0.192
MRPL54,0,53,0.106
MRPL55,0,48,0.096
MRPL57,0,43,0.086
MRPL9,0,29,0.058
MRPS10,0,15,0.03
MRPS11,0,69,0.138
MRPS12,0,137,0.274
MRPS14,0,22,0.044
MRPS15,0,31,0.062
MRPS16,0,25,0.05
MRPS17,0,153,0.306
MRPS18A,0,59,0.118
MRPS18B,0,29,0.058
MRPS2,0,61,0.122
MRPL50,0,26,0.052
MRPS21,0,35,0.07
MRPS22,0,10,0.02
MRPS23,0,23,0.046
MRPS25,0,19,0.038
MRPS26,0,83,0.166
MRPS27,0,15,0.03
MRPS28,0,20,0.04
MRPS30,0,7,0.014
MRPS31,0,4,0.008
MRPS33,0,38,0.076
MRPS34,0,35,0.07
MRPS35,0,13,0.026
MRPS36,0,54,0.108
MRPS5,0,40,0.08
MRPL51,0,77,0.154
MRPL49,0,54,0.108
MRPL16,0,26,0.052
MRPL33,0,55,0.11
MRPL17,0,125,0.25
MRPL18,0,14,0.028
MRPL19,0,14,0.028
MRPL2,0,86,0.172
MRPL20,0,43,0.086
MRPL21,0,87,0.174
MRPL22,0,34,0.068
MRPL23,0,54,0.108
MRPL24,0,41,0.082
MRPL27,0,28,0.056
MRPL28,0,86,0.172
MRPL3,0,9,0.018
MRPL30,0,27,0.054
MRPL32,0,39,0.078
MRPL34,0,70,0.14
MRPL48,0,34,0.068
MRPL35,0,26,0.052
MRPL36,0,65,0.13
MRPL37,0,69,0.138
MRPL38,0,109,0.218
MRPL39,0,45,0.09
MRPL4,0,74,0.148
MRPL40,0,68,0.136
MRPL41,0,86,0.172
MRPL42,0,7,0.014
MRPL43,0,64,0.128
MRPL44,0,27,0.054
MRPL45,0,51,0.102
MRPL46,0,64,0.128
MRPL47,0,37,0.074
MOSPD3,0,98,0.196
MOSPD2,0,46,0.092
MOSPD1,0,57,0.114
MLLT6,0,71,0.142
MLANA,0,32,0.064
MLC1,0,201,0.402
MLEC,0,25,0.05
MLF1,0,61,0.122
MLF2,0,81,0.162
MLH1,0,6,0.012
MLH3,0,60,0.12
MLIP,0,69,0.138
MLKL,0,39,0.078
MLLT1,0,62,0.124
MLLT10,0,23,0.046
MLLT11,0,79,0.158
MLLT3,0,14,0.028
MLLT4,0,107,0.214
MLN,0,95,0.19
MKS1,0,96,0.192
MLNR,0,36,0.072
MLPH,0,15,0.03
MLST8,0,122,0.244
MLX,0,71,0.142
MLXIP,0,45,0.09
MLXIPL,0,59,0.118
MLYCD,0,86,0.172
MMAA,0,48,0.096
MMAB,0,136,0.272
MMACHC,0,56,0.112
MMADHC,0,9,0.018
MMD,0,86,0.172
MMD2,0,21,0.042
MME,0,118,0.236
MKX,0,128,0.256
MKRN4P,0,123,0.246
MOS,0,134,0.268
MIS12,0,19,0.038
MIR137,0,134,0.268
MIR142,0,62,0.124
MIR146A,0,106,0.212
MIR17HG,0,117,0.234
MIR186,0,90,0.18
MIR205,0,47,0.094
MIR21,0,51,0.102
MIR29A,0,106,0.212
MIR29B2,0,78,0.156
MIR302B,0,184,0.368
MIR31HG,0,16,0.032
MIR34A,0,68,0.136
MIRLET7BHG,0,51,0.102
MIRLET7D,0,108,0.216
MIS18A,0,78,0.156
MKRN3,0,210,0.42
MIS18BP1,0,18,0.036
MISP,0,48,0.096
MITD1,0,3,0.006
MITF,0,78,0.156
MIXL1,0,52,0.104
MKI67,0,100,0.2
MKKS,0,18,0.036
MKL1,0,98,0.196
MKL2,0,64,0.128
MKLN1,0,19,0.038
MKNK1,0,60,0.12
MKNK2,0,63,0.126
MKRN1,0,137,0.274
MKRN2,0,52,0.104
MMEL1,0,104,0.208
MMGT1,0,67,0.134
MMP1,0,28,0.056
MOGS,0,56,0.112
MOB2,0,120,0.24
MOB3A,0,77,0.154
MOB3B,0,82,0.164
MOB3C,0,88,0.176
MOB4,0,6,0.012
MOBP,0,26,0.052
MOCOS,0,41,0.082
MOCS1,0,32,0.064
MOCS2,0,24,0.048
MOCS3,0,160,0.32
MOG,0,59,0.118
MOGAT1,0,130,0.26
MOGAT2,0,160,0.32
MOGAT3,0,45,0.09
MOK,0,98,0.196
MMP10,0,60,0.12
MON1A,0,136,0.272
MON1B,0,28,0.056
MON2,0,10,0.02
MORC1,0,129,0.258
MORC2,0,12,0.024
MORC3,0,14,0.028
MORC4,0,15,0.03
MORF4L1,0,16,0.032
MORF4L2,0,12,0.024
MORN1,0,61,0.122
MORN2,0,76,0.152
MORN3,0,68,0.136
MORN4,0,114,0.228
MORN5,0,46,0.092
MOB1B,0,23,0.046
MOB1A,0,40,0.08
MOAP1,0,52,0.104
MNX1,0,114,0.228
MMP11,0,68,0.136
MMP12,0,155,0.31
MMP13,0,76,0.152
MMP14,0,33,0.066
MMP15,0,51,0.102
MMP16,0,45,0.09
MMP17,0,100,0.2
MMP19,0,61,0.122
MMP2,0,36,0.072
MMP20,0,49,0.098
MMP21,0,58,0.116
MMP24,0,66,0.132
MMP25,0,157,0.314
MMP26,0,118,0.236
MMP27,0,30,0.06
MMP28,0,21,0.042
MMP3,0,62,0.124
MMP7,0,81,0.162
MMP8,0,142,0.284
MMP9,0,116,0.232
MMRN1,0,121,0.242
MMRN2,0,46,0.092
MMS19,0,71,0.142
MN1,0,132,0.264
MNAT1,0,153,0.306
MND1,0,175,0.35
MNDA,0,92,0.184
MNS1,0,113,0.226
MNT,0,43,0.086
NFKBIE,0,97,0.194
NFKBIZ,0,26,0.052
PGPEP1,0,87,0.174
PALD1,0,41,0.082
PAGE5,0,63,0.126
PAGR1,0,62,0.124
PAICS,0,54,0.108
PAIP1,0,0,0.0
PAIP2,0,37,0.074
PAIP2B,0,95,0.19
PAK1,0,66,0.132
PAK1IP1,0,27,0.054
PAK2,0,37,0.074
PAK3,0,69,0.138
PAK4,0,90,0.18
PAK6,0,46,0.092
PAK7,0,157,0.314
PALB2,0,30,0.06
PALLD,0,145,0.29
PAGE1,0,48,0.096
PALM,0,66,0.132
PALM3,0,42,0.084
PALMD,0,16,0.032
PAM,0,129,0.258
PAMR1,0,42,0.084
PAN2,0,21,0.042
PAN3,0,30,0.06
PANK1,0,76,0.152
PANK2,0,16,0.032
PANK3,0,13,0.026
PANK4,0,36,0.072
PANX1,0,78,0.156
PANX2,0,57,0.114
PANX3,0,158,0.316
PAGE4,0,151,0.302
PAG1,0,27,0.054
PAPD4,0,45,0.09
PABPN1,0,45,0.09
P2RY4,0,37,0.074
P2RY6,0,45,0.09
P2RY8,0,68,0.136
P4HA1,0,6,0.012
P4HA3,0,20,0.04
P4HB,0,35,0.07
P4HTM,0,129,0.258
PA2G4,0,79,0.158
PAAF1,0,56,0.112
PABPC1,0,59,0.118
PABPC1L,0,68,0.136
PABPC1L2A,0,47,0.094
PABPC3,0,23,0.046
PABPC5,0,75,0.15
PACRG,0,82,0.164
PAFAH2,0,93,0.186
PACRGL,0,18,0.036
PACS1,0,60,0.12
PACS2,0,41,0.082
PACSIN1,0,108,0.216
PACSIN2,0,54,0.108
PACSIN3,0,34,0.068
PADI1,0,23,0.046
PADI2,0,121,0.242
PADI3,0,159,0.318
PADI4,0,118,0.236
PAEP,0,58,0.116
PAF1,0,27,0.054
PAFAH1B1,0,7,0.014
PAFAH1B2,0,69,0.138
PAOX,0,35,0.07
PAPD5,0,8,0.016
P2RY14,0,92,0.184
PATL2,0,92,0.184
PARP6,0,40,0.08
PARP8,0,52,0.104
PARP9,0,72,0.144
PARPBP,0,118,0.236
PARS2,0,75,0.15
PART1,0,60,0.12
PARVA,0,64,0.128
PARVB,0,175,0.35
PARVG,0,42,0.084
PASD1,0,132,0.264
PASK,0,120,0.24
PATE1,0,96,0.192
PATE2,0,48,0.096
PATL1,0,35,0.07
PATZ1,0,95,0.19
PARP3,0,67,0.134
PAWR,0,71,0.142
PAX1,0,32,0.064
PAX2,0,46,0.092
PAX3,0,28,0.056
PAX4,0,29,0.058
PAX5,0,131,0.262
PAX6,0,161,0.322
PAX7,0,125,0.25
PAX8,0,30,0.06
PAX9,0,56,0.112
PAXBP1,0,35,0.07
PAXIP1,0,28,0.056
PBDC1,0,36,0.072
PBK,0,147,0.294
PARP4,0,22,0.044
PARP2,0,71,0.142
PAPD7,0,21,0.042
PARD3,0,127,0.254
PAPLN,0,50,0.1
PAPOLA,0,17,0.034
PAPOLB,0,57,0.114
PAPOLG,0,6,0.012
PAPPA,0,69,0.138
PAPPA2,0,25,0.05
PAPSS2,0,115,0.23
PAQR3,0,85,0.17
PAQR4,0,95,0.19
PAQR5,0,18,0.036
PAQR6,0,36,0.072
PAQR7,0,103,0.206
PAQR8,0,119,0.238
PAQR9,0,76,0.152
PARD3B,0,71,0.142
PARP16,0,54,0.108
PARD6A,0,110,0.22
PARD6B,0,122,0.244
PARD6G,0,74,0.148
PARG,0,35,0.07
PARK2,0,91,0.182
PARK7,0,68,0.136
PARL,0,9,0.018
PARM1,0,117,0.234
PARN,0,14,0.028
PARP10,0,87,0.174
PARP11,0,26,0.052
PARP12,0,91,0.182
PARP14,0,103,0.206
PARP15,0,106,0.212
P2RY2,0,117,0.234
P2RY13,0,97,0.194
NFRKB,0,28,0.056
ORAI2,0,92,0.184
OR7A17,0,47,0.094
OR7A5,0,9,0.018
OR7C1,0,21,0.042
OR7C2,0,50,0.1
OR7D2,0,208,0.416
OR7E14P,0,50,0.1
OR7E19P,0,41,0.082
OR7E24,0,91,0.182
OR7E37P,0,88,0.176
OR8B8,0,35,0.07
OR8D1,0,34,0.068
OR8D2,0,83,0.166
OR8G2,0,135,0.27
ORAI1,0,201,0.402
ORAI3,0,94,0.188
OR6W1P,0,109,0.218
ORAOV1,0,89,0.178
ORC1,0,80,0.16
ORC2,0,6,0.012
ORC3,0,15,0.03
ORC4,0,5,0.01
ORC5,0,33,0.066
ORC6,0,83,0.166
ORM1,0,136,0.272
ORMDL1,0,15,0.03
ORMDL2,0,37,0.074
ORMDL3,0,77,0.154
OS9,0,47,0.094
OSBP,0,28,0.056
OSBP2,0,112,0.224
OR7A10,0,180,0.36
OR6B1,0,25,0.05
OSBPL11,0,22,0.044
OR51I2,0,103,0.206
OR2S2,0,53,0.106
OR2W1,0,94,0.188
OR3A1,0,70,0.14
OR3A3,0,104,0.208
OR4D1,0,37,0.074
OR4D2,0,59,0.118
OR51A1P,0,76,0.152
OR51B2,0,136,0.272
OR51B4,0,20,0.04
OR51B5,0,41,0.082
OR51B6,0,27,0.054
OR51E1,0,37,0.074
OR51E2,0,54,0.108
OR51I1,0,115,0.23
OR51J1,0,99,0.198
OR6A2,0,91,0.182
OR51M1,0,79,0.158
OR52A1,0,68,0.136
OR52D1,0,51,0.102
OR52K3P,0,128,0.256
OR5E1P,0,160,0.32
OR5G1P,0,76,0.152
OR5H1,0,52,0.104
OR5I1,0,38,0.076
OR5J2,0,76,0.152
OR5K1,0,190,0.38
OR5L2,0,34,0.068
OR5P2,0,130,0.26
OR5P3,0,79,0.158
OR5V1,0,137,0.274
OSBPL10,0,63,0.126
OSBPL1A,0,167,0.334
P2RY12,0,118,0.236
OXNAD1,0,61,0.122
OTUD7B,0,108,0.216
OTULIN,0,24,0.048
OTX1,0,160,0.32
OTX2,0,22,0.044
OVGP1,0,86,0.172
OVOL1,0,61,0.122
OVOL2,0,19,0.038
OVOL3,0,75,0.15
OXA1L,0,68,0.136
OXCT1,0,28,0.056
OXCT2,0,33,0.066
OXER1,0,53,0.106
OXGR1,0,98,0.196
OXLD1,0,66,0.132
OXR1,0,53,0.106
OTUD5,0,44,0.088
OXSM,0,40,0.08
OXSR1,0,26,0.052
OXT,0,44,0.088
OXTR,0,86,0.172
P2RX1,0,143,0.286
P2RX2,0,5,0.01
P2RX3,0,86,0.172
P2RX4,0,47,0.094
P2RX5,0,81,0.162
P2RX6,0,28,0.056
P2RX7,0,102,0.204
P2RY1,0,99,0.198
P2RY10,0,70,0.14
P2RY11,0,133,0.266
OTUD6B,0,29,0.058
OTUD4,0,18,0.036
OSBPL2,0,55,0.11
OSMR,0,91,0.182
OSBPL3,0,59,0.118
OSBPL5,0,105,0.21
OSBPL6,0,36,0.072
OSBPL7,0,24,0.048
OSBPL8,0,20,0.04
OSBPL9,0,35,0.07
OSCAR,0,183,0.366
OSCP1,0,64,0.128
OSER1,0,34,0.068
OSGEP,0,21,0.042
OSGEPL1,0,11,0.022
OSGIN1,0,27,0.054
OSGIN2,0,58,0.116
OSM,0,50,0.1
OSR1,0,136,0.272
OTUD3,0,120,0.24
OSR2,0,71,0.142
OSTC,0,58,0.116
OSTCP1,0,105,0.21
OSTF1,0,63,0.126
OSTM1,0,7,0.014
OTC,0,115,0.23
OTOF,0,48,0.096
OTOGL,0,116,0.232
OTOP2,0,33,0.066
OTOR,0,64,0.128
OTOS,0,61,0.122
OTP,0,64,0.128
OTUB2,0,54,0.108
OTUD1,0,40,0.08
PBLD,0,65,0.13
PBOV1,0,81,0.162
PBRM1,0,4,0.008
PEAR1,0,88,0.176
PDYN,0,57,0.114
PDZD11,0,91,0.182
PDZD2,0,52,0.104
PDZD3,0,19,0.038
PDZD4,0,152,0.304
PDZD7,0,36,0.072
PDZD8,0,41,0.082
PDZD9,0,83,0.166
PDZK1,0,86,0.172
PDZK1IP1,0,138,0.276
PDZRN3,0,125,0.25
PDZRN4,0,163,0.326
PEA15,0,47,0.094
PEAK1,0,71,0.142
PEBP1,0,117,0.234
PDXK,0,37,0.074
PEBP4,0,46,0.092
PECAM1,0,57,0.114
PECR,0,69,0.138
PEF1,0,112,0.224
PEG10,0,74,0.148
PEG3,0,92,0.184
PELI1,0,41,0.082
PELI2,0,28,0.056
PELI3,0,73,0.146
PELO,0,92,0.184
PELP1,0,100,0.2
PEMT,0,77,0.154
PENK,0,80,0.16
PEPD,0,71,0.142
PDXP,0,121,0.242
PDXDC1,0,75,0.15
PER3,0,124,0.248
PDK4,0,102,0.204
PDGFRL,0,67,0.134
PDHA1,0,9,0.018
PDHA2,0,82,0.164
PDHB,0,52,0.104
PDHX,0,24,0.048
PDIA2,0,15,0.03
PDIA3,0,26,0.052
PDIA4,0,59,0.118
PDIA6,0,25,0.05
PDIK1L,0,34,0.068
PDILT,0,82,0.164
PDK1,0,37,0.074
PDK2,0,176,0.352
PDK3,0,33,0.066
PDLIM1,0,140,0.28
PDSS2,0,32,0.064
PDLIM2,0,143,0.286
PDLIM3,0,64,0.128
PDLIM4,0,133,0.266
PDLIM5,0,34,0.068
PDLIM7,0,152,0.304
PDP1,0,86,0.172
PDP2,0,114,0.228
PDPK1,0,88,0.176
PDPN,0,50,0.1
PDPR,0,115,0.23
PDRG1,0,52,0.104
PDS5A,0,9,0.018
PDS5B,0,4,0.008
PDSS1,0,56,0.112
SCAMP3,0,41,0.082
PERM1,0,113,0.226
PBX1,0,111,0.222
PGD,0,80,0.16
PFN1,0,48,0.096
PFN2,0,116,0.232
PFN4,0,55,0.11
PGAM1,0,59,0.118
PGAM2,0,166,0.332
PGAM5,0,127,0.254
PGAP1,0,42,0.084
PGAP2,0,96,0.192
PGAP3,0,62,0.124
PGBD1,0,146,0.292
PGBD2,0,30,0.06
PGBD4,0,82,0.164
PGBD5,0,108,0.216
PGC,0,39,0.078
PGF,0,60,0.12
PFKM,0,73,0.146
PGGT1B,0,32,0.064
PGK1,0,44,0.088
PGK2,0,87,0.174
PGLS,0,94,0.188
PGLYRP1,0,153,0.306
PGLYRP2,0,65,0.13
PGLYRP3,0,27,0.054
PGLYRP4,0,28,0.056
PGM1,0,78,0.156
PGM2,0,18,0.036
PGM2L1,0,77,0.154
PGM3,0,7,0.014
PGM5,0,146,0.292
PGP,0,157,0.314
PFKP,0,103,0.206
PFKL,0,48,0.096
PERP,0,107,0.214
PEX26,0,54,0.108
PES1,0,89,0.178
PET112,0,118,0.236
PET117,0,24,0.048
PEX1,0,29,0.058
PEX10,0,104,0.208
PEX11A,0,94,0.188
PEX11B,0,28,0.056
PEX11G,0,148,0.296
PEX12,0,73,0.146
PEX13,0,9,0.018
PEX14,0,58,0.116
PEX16,0,101,0.202
PEX19,0,11,0.022
PEX2,0,3,0.006
PEX3,0,20,0.04
PFKFB4,0,62,0.124
PEX5,0,80,0.16
PEX5L,0,31,0.062
PEX6,0,117,0.234
PEX7,0,65,0.13
PF4,0,175,0.35
PF4V1,0,165,0.33
PFAS,0,57,0.114
PFDN1,0,29,0.058
PFDN2,0,115,0.23
PFDN4,0,33,0.066
PFDN5,0,70,0.14
PFKFB1,0,93,0.186
PFKFB2,0,98,0.196
PFKFB3,0,60,0.12
PDGFRB,0,88,0.176
PDGFRA,0,47,0.094
PDGFD,0,114,0.228
PCED1B,0,86,0.172
PCDHB16,0,92,0.184
PCDHB17,0,145,0.29
PCDHB18,0,29,0.058
PCDHB2,0,38,0.076
PCDHB3,0,161,0.322
PCDHB4,0,86,0.172
PCDHB5,0,108,0.216
PCDHB6,0,124,0.248
PCDHB7,0,58,0.116
PCDHB8,0,116,0.232
PCDHB9,0,72,0.144
PCDHGC3,0,20,0.04
PCDP1,0,51,0.102
PCED1A,0,66,0.132
PCGF1,0,53,0.106
PCDHB14,0,145,0.29
PCGF2,0,104,0.208
PCGF3,0,40,0.08
PCGF5,0,59,0.118
PCGF6,0,123,0.246
PCID2,0,20,0.04
PCIF1,0,63,0.126
PCK1,0,46,0.092
PCK2,0,51,0.102
PCLO,0,34,0.068
PCM1,0,11,0.022
PCMT1,0,14,0.028
PCMTD1,0,19,0.038
PCMTD2,0,43,0.086
PCNA,0,15,0.03
PCDHB15,0,96,0.192
PCDHB13,0,111,0.222
PDGFC,0,105,0.21
PCCB,0,16,0.032
PBX2,0,58,0.116
PBX3,0,56,0.112
PBX4,0,66,0.132
PBXIP1,0,99,0.198
PC,0,102,0.204
PCAT18,0,17,0.034
PCAT4,0,144,0.288
PCBD1,0,139,0.278
PCBD2,0,39,0.078
PCBP1,0,43,0.086
PCBP2,0,83,0.166
PCBP3,0,30,0.06
PCBP4,0,47,0.094
PCCA,0,35,0.07
PCDH1,0,70,0.14
PCDHB12,0,51,0.102
PCDH10,0,60,0.12
PCDH11X,0,58,0.116
PCDH12,0,70,0.14
PCDH15,0,36,0.072
PCDH17,0,58,0.116
PCDH18,0,33,0.066
PCDH19,0,66,0.132
PCDH7,0,47,0.094
PCDH8,0,135,0.27
PCDH9,0,70,0.14
PCDHA9,0,33,0.066
PCDHB1,0,43,0.086
PCDHB10,0,9,0.018
PCDHB11,0,60,0.12
PCNP,0,17,0.034
PCNT,0,53,0.106
PCNXL2,0,106,0.212
PDE4D,0,88,0.176
PDCL2,0,116,0.232
PDCL3,0,30,0.06
PDDC1,0,80,0.16
PDE10A,0,86,0.172
PDE11A,0,33,0.066
PDE12,0,4,0.008
PDE1A,0,53,0.106
PDE1B,0,83,0.166
PDE1C,0,36,0.072
PDE2A,0,117,0.234
PDE3A,0,43,0.086
PDE3B,0,32,0.064
PDE4A,0,34,0.068
PDE4B,0,41,0.082
PDE4DIP,0,65,0.13
PCNXL3,0,124,0.248
PDE5A,0,156,0.312
PDE6A,0,81,0.162
PDE6B,0,39,0.078
PDE6C,0,86,0.172
PDE6D,0,114,0.228
PDE6G,0,82,0.164
PDE6H,0,86,0.172
PDE7A,0,37,0.074
PDE7B,0,105,0.21
PDE8A,0,44,0.088
PDE8B,0,62,0.124
PDE9A,0,112,0.224
PDGFA,0,62,0.124
PDGFB,0,12,0.024
PDCL,0,23,0.046
PDCD7,0,48,0.096
PDCD6IP,0,47,0.094
PDCD5,0,80,0.16
PCNXL4,0,30,0.06
PCOLCE,0,82,0.164
PCOLCE2,0,59,0.118
PCP2,0,156,0.312
PCP4,0,57,0.114
PCP4L1,0,65,0.13
PCSK1,0,137,0.274
PCSK1N,0,62,0.124
PCSK2,0,63,0.126
PCSK4,0,140,0.28
PCSK5,0,81,0.162
PCSK6,0,21,0.042
PCSK7,0,15,0.03
PCSK9,0,67,0.134
PCTP,0,138,0.276
PCYOX1,0,45,0.09
PCYOX1L,0,108,0.216
PCYT1A,0,24,0.048
PCYT1B,0,112,0.224
PCYT2,0,144,0.288
PDAP1,0,90,0.18
PDC,0,132,0.264
PDCD1,0,74,0.148
PDCD10,0,9,0.018
PDCD11,0,21,0.042
PDCD1LG2,0,105,0.21
PDCD2,0,32,0.064
PDCD2L,0,56,0.112
PDCD4,0,86,0.172
OR2N1P,0,71,0.142
OR2M4,0,44,0.088
OR2L2,0,147,0.294
NPFFR2,0,90,0.18
NPAS4,0,76,0.152
NPAT,0,28,0.056
NPB,0,59,0.118
NPBWR1,0,87,0.174
NPBWR2,0,148,0.296
NPC1,0,46,0.092
NPC1L1,0,28,0.056
NPC2,0,131,0.262
NPCDR1,0,113,0.226
NPDC1,0,21,0.042
NPEPL1,0,166,0.332
NPEPPS,0,32,0.064
NPFF,0,44,0.088
NPFFR1,0,137,0.274
NPHP1,0,105,0.21
NPAS2,0,41,0.082
NPHP3,0,26,0.052
NPHP4,0,62,0.124
NPHS1,0,82,0.164
NPHS2,0,40,0.08
NPL,0,94,0.188
NPLOC4,0,45,0.09
NPM1,0,50,0.1
NPM2,0,76,0.152
NPM3,0,73,0.146
NPNT,0,63,0.126
NPPA,0,95,0.19
NPPB,0,37,0.074
NPPC,0,108,0.216
NPR1,0,23,0.046
NPAS3,0,122,0.244
NPAS1,0,100,0.2
NPR3,0,45,0.09
NOTCH1,0,94,0.188
NOLC1,0,53,0.106
NONO,0,27,0.054
NOP10,0,81,0.162
NOP14,0,26,0.052
NOP16,0,36,0.072
NOP2,0,47,0.094
NOP58,0,4,0.008
NOP9,0,75,0.15
NOS1,0,11,0.022
NOS1AP,0,28,0.056
NOS2,0,64,0.128
NOS3,0,57,0.114
NOSIP,0,67,0.134
NOSTRIN,0,66,0.132
NOTCH2,0,73,0.146
NPAP1,0,33,0.066
NOTCH2NL,0,78,0.156
NOTCH3,0,84,0.168
NOTCH4,0,38,0.076
NOTUM,0,39,0.078
NOV,0,121,0.242
NOVA1,0,118,0.236
NOVA2,0,72,0.144
NOX1,0,96,0.192
NOX3,0,55,0.11
NOX4,0,104,0.208
NOX5,0,17,0.034
NOXA1,0,101,0.202
NOXO1,0,126,0.252
NOXRED1,0,131,0.262
NPR2,0,49,0.098
NPRL2,0,23,0.046
NRXN1,0,174,0.348
NRG2,0,36,0.072
NR4A3,0,41,0.082
NR5A1,0,68,0.136
NR5A2,0,20,0.04
NR6A1,0,63,0.126
NRAP,0,11,0.022
NRARP,0,95,0.19
NRAS,0,30,0.06
NRBP1,0,30,0.06
NRCAM,0,145,0.29
NRD1,0,21,0.042
NRDE2,0,51,0.102
NREP,0,123,0.246
NRF1,0,16,0.032
NRG1,0,163,0.326
NRG3,0,74,0.148
NR4A1,0,24,0.048
NRG4,0,79,0.158
NRGN,0,111,0.222
NRIP1,0,32,0.064
NRIP2,0,42,0.084
NRIP3,0,156,0.312
NRK,0,90,0.18
NRL,0,23,0.046
NRM,0,43,0.086
NRN1,0,120,0.24
NRP1,0,92,0.184
NRP2,0,31,0.062
NRROS,0,151,0.302
NRSN1,0,52,0.104
NRSN2,0,138,0.276
NR4A2,0,126,0.252
NR3C2,0,77,0.154
NPRL3,0,140,0.28
NR0B2,0,88,0.176
NPTN,0,33,0.066
NPTX1,0,146,0.292
NPTX2,0,79,0.158
NPTXR,0,29,0.058
NPVF,0,105,0.21
NPW,0,110,0.22
NPY,0,56,0.112
NPY1R,0,92,0.184
NPY2R,0,15,0.03
NPY5R,0,99,0.198
NPY6R,0,56,0.112
NQO1,0,151,0.302
NQO2,0,90,0.18
NR0B1,0,97,0.194
NR1D1,0,102,0.204
NR3C1,0,7,0.014
NR1D2,0,45,0.09
NR1H2,0,25,0.05
NR1H3,0,66,0.132
NR1H4,0,67,0.134
NR1I2,0,43,0.086
NR1I3,0,15,0.03
NR2C1,0,7,0.014
NR2C2,0,19,0.038
NR2C2AP,0,48,0.096
NR2E1,0,36,0.072
