gene,count,freq
ARID4B,25,1.0
ATRX,25,1.0
HNRNPH3,25,1.0
LUC7L3,25,1.0
MALAT1,25,1.0
PNISR,25,1.0
R3HCC1L,25,1.0
RANBP2,25,1.0
RBM39,25,1.0
RNF145,25,1.0
SACM1L,25,1.0
SPG20,25,1.0
TGFBR1,25,1.0
TIGD7,25,1.0
UBXN2A,25,1.0
ZNF117,25,1.0
ZNF12,25,1.0
ZNF292,25,1.0
CCR2,24,0.96
HNRNPA2B1,24,0.96
KIDINS220,24,0.96
PNN,24,0.96
TOPORS,24,0.96
ZDHHC17,24,0.96
ZNF700,24,0.96
CRLF3,23,0.92
FXR1,23,0.92
PNRC2,23,0.92
ZNF701,23,0.92
AHNAK,22,0.88
CD163,22,0.88
EIF4A2,22,0.88
GIMAP8,22,0.88
PPM1B,22,0.88
RIT1,22,0.88
ZNF322,22,0.88
ZNF721,22,0.88
ZNF808,22,0.88
DDX42,21,0.84
RSF1,21,0.84
ZFP62,21,0.84
ESF1,20,0.8
IVNS1ABP,20,0.8
LOC728554,20,0.8
PRPF40A,20,0.8
SRSF5,20,0.8
TMEM2,20,0.8
HERC4,19,0.76
PDX1,19,0.76
YTHDC1,19,0.76
ZNF770,19,0.76
CHD2,18,0.72
CNBP,17,0.68
EIF3A,17,0.68
PCF11,17,0.68
RAB27A,17,0.68
SRSF1,17,0.68
ZNF600,17,0.68
CES1,16,0.64
EGR1,16,0.64
STX16,16,0.64
TM2D3,16,0.64
TTC14,16,0.64
SREK1,15,0.6
TSR1,15,0.6
ARMCX3,14,0.56
CLK1,14,0.56
DDX6,14,0.56
FAR1,14,0.56
RABGGTB,14,0.56
ZNF518B,14,0.56
CCDC47,13,0.52
LBR,13,0.52
POLR2B,13,0.52
RBL2,13,0.52
RBM12B,13,0.52
SLC38A2,13,0.52
FAM13C,12,0.48
JAK2,12,0.48
JRKL,12,0.48
MFSD1,12,0.48
PRPF38B,12,0.48
SF3B1,12,0.48
STARD4,12,0.48
TMEM30A,12,0.48
USP47,12,0.48
DEK,11,0.44
FGL2,11,0.44
SENP6,11,0.44
ZNF569,11,0.44
ASNSD1,10,0.4
DDX5,10,0.4
HMBS,10,0.4
KIF5B,10,0.4
UFM1,10,0.4
ZNF224,10,0.4
CHMP1B,9,0.36
HNRNPA3,9,0.36
MYBL2,9,0.36
NUP50,9,0.36
PKD2,9,0.36
RANBP6,9,0.36
RLF,9,0.36
ROCK1,9,0.36
C1QC,8,0.32
CCDC82,8,0.32
CWC27,8,0.32
FER,8,0.32
HSD17B11,8,0.32
RENBP,8,0.32
RNF6,8,0.32
RPS6KA3,8,0.32
SCARNA17,8,0.32
ZNF780A,8,0.32
CEBPG,7,0.28
CUTC,7,0.28
DNAJA1,7,0.28
FYTTD1,7,0.28
LINC00909,7,0.28
MICALL2,7,0.28
RB1CC1,7,0.28
RBAK,7,0.28
SARAF,7,0.28
SLTM,7,0.28
SRSF6,7,0.28
SUV420H1,7,0.28
TAOK3,7,0.28
CCDC144A,6,0.24
CD36,6,0.24
CTR9,6,0.24
E2F2,6,0.24
PPP4R2,6,0.24
SKIV2L2,6,0.24
TDP2,6,0.24
TMCO3,6,0.24
TNFRSF10B,6,0.24
ZNF217,6,0.24
ZNF267,6,0.24
ZNF420,6,0.24
ZNF45,6,0.24
CNEP1R1,5,0.2
DCP2,5,0.2
DYNC1LI2,5,0.2
HNRNPH2,5,0.2
IFRD1,5,0.2
ITGB2,5,0.2
MRFAP1,5,0.2
MRFAP1L1,5,0.2
MTERF1,5,0.2
PPIG,5,0.2
TRMU,5,0.2
USP48,5,0.2
ZNF20,5,0.2
ZNF514,5,0.2
BAZ2B,4,0.16
BMS1P5,4,0.16
CREBZF,4,0.16
GALNT9,4,0.16
KCNE3,4,0.16
LMNB1,4,0.16
MTERF2,4,0.16
MTF2,4,0.16
PLA2G7,4,0.16
SLC39A7,4,0.16
SNORA21,4,0.16
STK4,4,0.16
TAF7,4,0.16
ZNF26,4,0.16
ACRC,3,0.12
AMICA1,3,0.12
ARID4A,3,0.12
CCPG1,3,0.12
DAP3,3,0.12
DLX6,3,0.12
ERCC5,3,0.12
ESCO1,3,0.12
GIMAP7,3,0.12
HMGB1,3,0.12
KLHL8,3,0.12
MGEA5,3,0.12
MORC3,3,0.12
MYOM1,3,0.12
NEK4,3,0.12
NOM1,3,0.12
PAFAH1B3,3,0.12
RBM25,3,0.12
SNX19,3,0.12
SRSF7,3,0.12
TAX1BP1,3,0.12
TCF20,3,0.12
TPR,3,0.12
TTC32,3,0.12
UBALD1,3,0.12
ZKSCAN1,3,0.12
ADAM17,2,0.08
AK9,2,0.08
AQP1,2,0.08
ARFIP1,2,0.08
ARHGAP30,2,0.08
ASAP3,2,0.08
ASPHD1,2,0.08
ATP6AP2,2,0.08
CAMSAP2,2,0.08
CDK5RAP3,2,0.08
CFLAR,2,0.08
CLK4,2,0.08
CPNE5,2,0.08
CRAT,2,0.08
CWF19L2,2,0.08
CXCR3,2,0.08
DLD,2,0.08
DTX4,2,0.08
ELFN2,2,0.08
FAM133B,2,0.08
FIZ1,2,0.08
HNRNPU,2,0.08
KBTBD11,2,0.08
NFE2L2,2,0.08
NOL8,2,0.08
NRBF2,2,0.08
OAT,2,0.08
OPTC,2,0.08
PSMF1,2,0.08
RAD21,2,0.08
RPH3A,2,0.08
SFPQ,2,0.08
SLA,2,0.08
SLC37A4,2,0.08
SNW1,2,0.08
SOX9,2,0.08
SPEN,2,0.08
TGM2,2,0.08
TGOLN2,2,0.08
THUMPD1,2,0.08
TMEM165,2,0.08
TPCN2,2,0.08
TRAPPC6B,2,0.08
TXNRD1,2,0.08
UCP2,2,0.08
UPF2,2,0.08
WAPAL,2,0.08
WDR89,2,0.08
YIPF4,2,0.08
ZNF226,2,0.08
ZNF441,2,0.08
ZNF540,2,0.08
ZNF611,2,0.08
ABHD14A,1,0.04
ACIN1,1,0.04
AGPAT9,1,0.04
ANKRD12,1,0.04
AOAH,1,0.04
ARGLU1,1,0.04
ARHGEF16,1,0.04
BTBD10,1,0.04
C22orf46,1,0.04
C2orf57,1,0.04
CAPZA2,1,0.04
CBWD1,1,0.04
CCDC126,1,0.04
CD63,1,0.04
CD79A,1,0.04
CENPA,1,0.04
CHML,1,0.04
CPOX,1,0.04
CRBN,1,0.04
CRKL,1,0.04
CSNK1A1,1,0.04
DDX59,1,0.04
DKC1,1,0.04
DNAJC3,1,0.04
ENPP1,1,0.04
FAM200B,1,0.04
FAM208A,1,0.04
FKBP5,1,0.04
FNTA,1,0.04
GJD3,1,0.04
GNAO1,1,0.04
HABP4,1,0.04
HCN4,1,0.04
HENMT1,1,0.04
HMGCR,1,0.04
HMGN3,1,0.04
HSPG2,1,0.04
IDI1,1,0.04
IFI27L1,1,0.04
IFNGR1,1,0.04
IGFBP2,1,0.04
ING4,1,0.04
INSIG2,1,0.04
KBTBD2,1,0.04
KIAA0232,1,0.04
KTN1,1,0.04
LRRC36,1,0.04
MCEMP1,1,0.04
MMP11,1,0.04
MYLK2,1,0.04
NEMF,1,0.04
NFYB,1,0.04
PAPSS1,1,0.04
PCNX,1,0.04
PHF20,1,0.04
PNOC,1,0.04
POLG2,1,0.04
PPFIA1,1,0.04
PPP6R3,1,0.04
PRPF18,1,0.04
RAB3GAP1,1,0.04
RGS18,1,0.04
RPL17,1,0.04
RPS6KC1,1,0.04
SART3,1,0.04
SCN1B,1,0.04
SF3B4,1,0.04
SH3BP5L,1,0.04
SHISA4,1,0.04
SIAH1,1,0.04
SIX6,1,0.04
SLC17A9,1,0.04
SLC37A3,1,0.04
SLMAP,1,0.04
SMARCA2,1,0.04
SMARCA5,1,0.04
SMOX,1,0.04
SRSF4,1,0.04
TBC1D14,1,0.04
