gene,count,freq
ARID4B,25,1.0
ATRX,25,1.0
CRLF3,25,1.0
EIF4A2,25,1.0
FXR1,25,1.0
HNRNPA2B1,25,1.0
HNRNPH3,25,1.0
IVNS1ABP,25,1.0
KIDINS220,25,1.0
LUC7L3,25,1.0
MALAT1,25,1.0
PNISR,25,1.0
PNN,25,1.0
PPM1B,25,1.0
R3HCC1L,25,1.0
RANBP2,25,1.0
RBM39,25,1.0
RNF145,25,1.0
RSF1,25,1.0
SACM1L,25,1.0
SPG20,25,1.0
TGFBR1,25,1.0
TIGD7,25,1.0
TOPORS,25,1.0
UBXN2A,25,1.0
ZDHHC17,25,1.0
ZNF117,25,1.0
ZNF12,25,1.0
ZNF292,25,1.0
ZNF770,25,1.0
AHNAK,24,0.96
CCR2,24,0.96
CD163,24,0.96
ESF1,24,0.96
GIMAP8,24,0.96
HERC4,24,0.96
PCF11,24,0.96
PDX1,24,0.96
PNRC2,24,0.96
PRPF40A,24,0.96
RIT1,24,0.96
YTHDC1,24,0.96
ZFP62,24,0.96
ZNF322,24,0.96
ZNF700,24,0.96
ZNF701,24,0.96
ZNF808,24,0.96
DDX42,23,0.92
RABGGTB,23,0.92
SRSF5,23,0.92
ZNF721,23,0.92
EGR1,22,0.88
SF3B1,22,0.88
SLC38A2,22,0.88
TMEM2,22,0.88
ARMCX3,21,0.84
CNBP,21,0.84
FYTTD1,21,0.84
LOC728554,21,0.84
RAB27A,21,0.84
SREK1,21,0.84
STX16,21,0.84
TSR1,21,0.84
TTC14,21,0.84
ZNF518B,21,0.84
CHMP1B,20,0.8
CLK1,20,0.8
EIF3A,20,0.8
FAR1,20,0.8
POLR2B,20,0.8
SRSF1,20,0.8
TM2D3,20,0.8
CHD2,19,0.76
JAK2,19,0.76
RB1CC1,19,0.76
RBM12B,19,0.76
SENP6,19,0.76
USP47,19,0.76
ZNF224,19,0.76
ZNF600,19,0.76
CCDC47,18,0.72
DDX5,18,0.72
DDX6,18,0.72
LBR,18,0.72
PRPF38B,18,0.72
RBL2,18,0.72
STARD4,18,0.72
TMEM30A,18,0.72
CES1,17,0.68
DEK,17,0.68
ZNF569,17,0.68
ASNSD1,16,0.64
DCP2,16,0.64
HNRNPA3,16,0.64
JRKL,16,0.64
SLTM,16,0.64
ZNF420,16,0.64
FAM13C,15,0.6
MTF2,15,0.6
RNF6,15,0.6
SRSF6,15,0.6
UFM1,15,0.6
ZNF780A,15,0.6
CUTC,14,0.56
CWC27,14,0.56
FGL2,14,0.56
HNRNPH2,14,0.56
MFSD1,14,0.56
RPS6KA3,14,0.56
ZNF45,14,0.56
CCDC82,13,0.52
LINC00909,13,0.52
NUP50,13,0.52
RANBP6,13,0.52
RLF,13,0.52
ATP6AP2,12,0.48
BAZ2B,12,0.48
CEBPG,12,0.48
CTR9,12,0.48
HSD17B11,12,0.48
KIF5B,12,0.48
MRFAP1,12,0.48
MTERF1,12,0.48
PPP4R2,12,0.48
ROCK1,12,0.48
SKIV2L2,12,0.48
USP48,12,0.48
CD36,11,0.44
CREBZF,11,0.44
E2F2,11,0.44
FER,11,0.44
HMBS,11,0.44
INSIG2,11,0.44
MICALL2,11,0.44
PKD2,11,0.44
PPIG,11,0.44
RBAK,11,0.44
SCARNA17,11,0.44
SUV420H1,11,0.44
TNFRSF10B,11,0.44
ZNF217,11,0.44
C1QC,10,0.4
CNEP1R1,10,0.4
DAP3,10,0.4
DNAJA1,10,0.4
GALNT9,10,0.4
GIMAP7,10,0.4
MORC3,10,0.4
MYBL2,10,0.4
RENBP,10,0.4
SARAF,10,0.4
SLMAP,10,0.4
TAF7,10,0.4
TMCO3,10,0.4
IFRD1,9,0.36
ITGB2,9,0.36
NOL8,9,0.36
PLA2G7,9,0.36
POLG2,9,0.36
PRPF4B,9,0.36
TAOK3,9,0.36
TPR,9,0.36
WAPAL,9,0.36
ZNF267,9,0.36
ZNF514,9,0.36
ADAM17,8,0.32
BMS1P5,8,0.32
CCDC144A,8,0.32
DYNC1LI2,8,0.32
ERCC5,8,0.32
MTERF2,8,0.32
RAD21,8,0.32
RPS6KC1,8,0.32
SFPQ,8,0.32
SNW1,8,0.32
STK4,8,0.32
ZKSCAN1,8,0.32
ZNF226,8,0.32
ZNF830,8,0.32
AMICA1,7,0.28
ARGLU1,7,0.28
CCPG1,7,0.28
CDK5RAP3,7,0.28
CLK4,7,0.28
HMGB1,7,0.28
LMNB1,7,0.28
MRFAP1L1,7,0.28
NEK4,7,0.28
RBM25,7,0.28
SMOX,7,0.28
TDP2,7,0.28
TMEM165,7,0.28
TRMU,7,0.28
ZNF350,7,0.28
ARHGEF16,6,0.24
ARID4A,6,0.24
ESCO1,6,0.24
HNRNPU,6,0.24
HSDL1,6,0.24
KLHL8,6,0.24
NFE2L2,6,0.24
SMARCA5,6,0.24
SNORA21,6,0.24
TGM2,6,0.24
ZBTB1,6,0.24
ZNF611,6,0.24
CCDC126,5,0.2
CWF19L2,5,0.2
FAM133B,5,0.2
HNRNPH1,5,0.2
ING4,5,0.2
KCNE3,5,0.2
NEMF,5,0.2
NOM1,5,0.2
PAFAH1B3,5,0.2
PPP6R3,5,0.2
SLC17A9,5,0.2
SOX9,5,0.2
TAX1BP1,5,0.2
TTC32,5,0.2
TXNRD1,5,0.2
UBALD1,5,0.2
UPF2,5,0.2
WDR89,5,0.2
ZNF20,5,0.2
ZNF441,5,0.2
ZNF540,5,0.2
ACRC,4,0.16
ANKRD12,4,0.16
CRAT,4,0.16
CSNK1A1,4,0.16
DLD,4,0.16
HNRNPF,4,0.16
IDI1,4,0.16
IGIP,4,0.16
KBTBD11,4,0.16
KTN1,4,0.16
MGEA5,4,0.16
SLC39A7,4,0.16
SNX19,4,0.16
TCF20,4,0.16
TRAPPC6B,4,0.16
UCP2,4,0.16
YES1,4,0.16
ZNF26,4,0.16
ZSCAN29,4,0.16
AQP1,3,0.12
ARFIP1,3,0.12
CD63,3,0.12
CFLAR,3,0.12
CHML,3,0.12
DLX6,3,0.12
ELFN2,3,0.12
FAM200B,3,0.12
FIZ1,3,0.12
FNTA,3,0.12
HMGCR,3,0.12
KBTBD2,3,0.12
KIAA0232,3,0.12
MYOM1,3,0.12
OAT,3,0.12
OPTC,3,0.12
PHF20,3,0.12
PPP2R5A,3,0.12
PSKH2,3,0.12
RAB3GAP1,3,0.12
SCN1B,3,0.12
SLC37A3,3,0.12
SLC37A4,3,0.12
SPEN,3,0.12
SRSF7,3,0.12
TPCN2,3,0.12
TUBB2A,3,0.12
UBE2F,3,0.12
UBXN4,3,0.12
USP1,3,0.12
VNN2,3,0.12
YIPF4,3,0.12
ABHD14A,2,0.08
AGPAT9,2,0.08
AK9,2,0.08
AOAH,2,0.08
ARHGAP30,2,0.08
ASAP3,2,0.08
ASPHD1,2,0.08
ATP6V1E1,2,0.08
ATXN3,2,0.08
AZIN1,2,0.08
BTBD10,2,0.08
BZW1,2,0.08
CAMSAP2,2,0.08
CENPA,2,0.08
CENPL,2,0.08
CLCN2,2,0.08
CNPPD1,2,0.08
CPNE5,2,0.08
CPOX,2,0.08
CRKL,2,0.08
CXCR3,2,0.08
CYP20A1,2,0.08
DDX59,2,0.08
DHX9,2,0.08
DMPK,2,0.08
DTX4,2,0.08
ENOPH1,2,0.08
FAM208A,2,0.08
FIGNL1,2,0.08
FKBP5,2,0.08
GNRH2,2,0.08
GOPC,2,0.08
HCN4,2,0.08
HECA,2,0.08
HNRNPM,2,0.08
IGFBP2,2,0.08
KPNB1,2,0.08
MTERF4,2,0.08
MYLK2,2,0.08
NFYB,2,0.08
NIN,2,0.08
NRBF2,2,0.08
PANK2,2,0.08
PCMTD1,2,0.08
PGGT1B,2,0.08
PNOC,2,0.08
PRPF18,2,0.08
PRPF39,2,0.08
