gene,count,freq
PSMF1,2,0.08
PTPN2,2,0.08
PTPRC,2,0.08
RAB1A,2,0.08
REV1,2,0.08
RPH3A,2,0.08
S100A6,2,0.08
SF3B4,2,0.08
SIAH1,2,0.08
SLA,2,0.08
SMEK1,2,0.08
TGFBI,2,0.08
TGOLN2,2,0.08
THUMPD1,2,0.08
TNFAIP8L2,2,0.08
TPRXL,2,0.08
USP33,2,0.08
ZNF146,2,0.08
ZNF546,2,0.08
ZNF638,2,0.08
ACIN1,1,0.04
ADAM10,1,0.04
ADAMTS19,1,0.04
ADRA2C,1,0.04
AKAP13,1,0.04
ANKRD26,1,0.04
ATG7,1,0.04
ATP6V0E2,1,0.04
B3GNT2,1,0.04
BIN2,1,0.04
C22orf46,1,0.04
C2orf57,1,0.04
CALCOCO1,1,0.04
CAPZA2,1,0.04
CARM1,1,0.04
CBWD1,1,0.04
CBX3,1,0.04
CCDC186,1,0.04
CCR10,1,0.04
CD69,1,0.04
CD79A,1,0.04
CDH1,1,0.04
CNIH4,1,0.04
CRBN,1,0.04
CWC22,1,0.04
DDX21,1,0.04
DDX3X,1,0.04
DKC1,1,0.04
DLC1,1,0.04
DNAJB6,1,0.04
DNAJC3,1,0.04
DOCK11,1,0.04
ENPP1,1,0.04
ERICH1,1,0.04
ERICH5,1,0.04
FAM73A,1,0.04
FOXP3,1,0.04
GGNBP2,1,0.04
GJD3,1,0.04
GNAO1,1,0.04
GOLGA4,1,0.04
GTF2H3,1,0.04
HABP4,1,0.04
HAUS6,1,0.04
HENMT1,1,0.04
HEXIM1,1,0.04
HMGN3,1,0.04
HNRNPR,1,0.04
HRK,1,0.04
HSP90AB1,1,0.04
HSPG2,1,0.04
IFI27L1,1,0.04
IFNGR1,1,0.04
IGF2R,1,0.04
KBTBD6,1,0.04
KDM2A,1,0.04
LRRC36,1,0.04
LRRC40,1,0.04
LRRC6,1,0.04
MAP2K1,1,0.04
MBLAC2,1,0.04
MCEMP1,1,0.04
MED7,1,0.04
MGC70870,1,0.04
MIR29B2,1,0.04
MIS12,1,0.04
MMP11,1,0.04
MSANTD4,1,0.04
MSH2,1,0.04
MTIF2,1,0.04
MTRF1,1,0.04
NARS,1,0.04
NDOR1,1,0.04
NDUFA4,1,0.04
NDUFA5,1,0.04
OBFC1,1,0.04
OTOP2,1,0.04
OTUD7A,1,0.04
PAFAH1B1,1,0.04
PAPSS1,1,0.04
PCNX,1,0.04
PLA2G4C,1,0.04
PPFIA1,1,0.04
PPP1R21,1,0.04
PRMT2,1,0.04
RAB3A,1,0.04
RBM15,1,0.04
RGS18,1,0.04
RGS7,1,0.04
RNF168,1,0.04
RPL11,1,0.04
RPL17,1,0.04
SART3,1,0.04
SH3BP5L,1,0.04
SHB,1,0.04
SHISA4,1,0.04
SHISA7,1,0.04
SIX6,1,0.04
SLC30A1,1,0.04
SLC35A1,1,0.04
SMARCA2,1,0.04
SNRNP200,1,0.04
SNX16,1,0.04
SOX11,1,0.04
SOX5,1,0.04
SRSF4,1,0.04
STAG2,1,0.04
SUMO4,1,0.04
SVIL,1,0.04
TARDBP,1,0.04
TASP1,1,0.04
TBC1D14,1,0.04
THOC1,1,0.04
THOC2,1,0.04
TIMM8A,1,0.04
TMX1,1,0.04
TNPO3,1,0.04
TRIB3,1,0.04
TRIP11,1,0.04
TUBB6,1,0.04
UBIAD1,1,0.04
WDR82,1,0.04
WLS,1,0.04
ZDBF2,1,0.04
ZFP30,1,0.04
ZNF106,1,0.04
ZNF200,1,0.04
ZNF204P,1,0.04
ZNF252P,1,0.04
ZNF254,1,0.04
ZNF302,1,0.04
ZNF324B,1,0.04
ZNF516,1,0.04
ZNF594,1,0.04
ZNF740,1,0.04
ZNF763,1,0.04
ZNF780B,1,0.04
