gene,count,freq
LUC7L3,25,1.0
MALAT1,25,1.0
R3HCC1L,25,1.0
RBM39,25,1.0
RNF145,25,1.0
SPG20,25,1.0
TIGD7,25,1.0
ZNF292,25,1.0
UBXN2A,24,0.96
ZNF12,24,0.96
SACM1L,23,0.92
ZNF117,23,0.92
ATRX,22,0.88
PNISR,22,0.88
PNN,22,0.88
TGFBR1,22,0.88
HNRNPA2B1,21,0.84
KIDINS220,21,0.84
CCR2,20,0.8
GIMAP8,20,0.8
ZNF721,20,0.8
ARID4B,19,0.76
TOPORS,19,0.76
ZNF701,19,0.76
HNRNPH3,18,0.72
CD163,17,0.68
RANBP2,17,0.68
ZDHHC17,17,0.68
ESF1,16,0.64
RIT1,16,0.64
AHNAK,15,0.6
PNRC2,15,0.6
SRSF5,15,0.6
ZNF808,15,0.6
DDX42,14,0.56
LOC728554,14,0.56
PDX1,13,0.52
CHD2,12,0.48
CRLF3,12,0.48
PPM1B,12,0.48
STX16,12,0.48
EGR1,11,0.44
EIF4A2,11,0.44
ZNF322,11,0.44
CES1,10,0.4
IVNS1ABP,10,0.4
RSF1,10,0.4
ZFP62,10,0.4
ZNF700,10,0.4
FXR1,9,0.36
RBL2,9,0.36
TSR1,9,0.36
ZNF600,9,0.36
TMEM2,8,0.32
ZNF770,8,0.32
EIF3A,7,0.28
HMBS,7,0.28
JRKL,7,0.28
LBR,7,0.28
RAB27A,7,0.28
TM2D3,7,0.28
TTC14,7,0.28
DDX6,6,0.24
FER,6,0.24
MYBL2,6,0.24
STARD4,6,0.24
FAM13C,5,0.2
PRPF40A,5,0.2
RENBP,5,0.2
SENP6,5,0.2
YTHDC1,5,0.2
ZNF569,5,0.2
ASNSD1,4,0.16
CCDC144A,4,0.16
HSD17B11,4,0.16
JAK2,4,0.16
KIF5B,4,0.16
PKD2,4,0.16
PRPF38B,4,0.16
RLF,4,0.16
TRMU,4,0.16
USP47,4,0.16
ZNF518B,4,0.16
ARMCX3,3,0.12
CNBP,3,0.12
E2F2,3,0.12
FAR1,3,0.12
HERC4,3,0.12
LMNB1,3,0.12
MICALL2,3,0.12
POLR2B,3,0.12
PPP4R2,3,0.12
RBM12B,3,0.12
SCARNA17,3,0.12
SLC39A7,3,0.12
SRSF1,3,0.12
TNFRSF10B,3,0.12
UFM1,3,0.12
ZNF20,3,0.12
ZNF514,3,0.12
C1QC,2,0.08
CEBPG,2,0.08
CHMP1B,2,0.08
CLK1,2,0.08
CTR9,2,0.08
DEK,2,0.08
FIZ1,2,0.08
GALNT9,2,0.08
HNRNPA3,2,0.08
ITGB2,2,0.08
KCNE3,2,0.08
MRFAP1,2,0.08
MTERF1,2,0.08
NEK4,2,0.08
NUP50,2,0.08
PAFAH1B3,2,0.08
PPIG,2,0.08
RABGGTB,2,0.08
ROCK1,2,0.08
SF3B1,2,0.08
SKIV2L2,2,0.08
SLC38A2,2,0.08
SNORA21,2,0.08
SNX19,2,0.08
SREK1,2,0.08
SRSF6,2,0.08
SRSF7,2,0.08
UBALD1,2,0.08
USP48,2,0.08
ZNF217,2,0.08
ZNF224,2,0.08
ZNF267,2,0.08
ZNF420,2,0.08
ACRC,1,0.04
AGPAT9,1,0.04
AMICA1,1,0.04
AOAH,1,0.04
ASAP3,1,0.04
BMS1P5,1,0.04
CAMSAP2,1,0.04
CCDC47,1,0.04
CCDC82,1,0.04
CCPG1,1,0.04
CFLAR,1,0.04
CNEP1R1,1,0.04
CRAT,1,0.04
CRKL,1,0.04
CWF19L2,1,0.04
DNAJC3,1,0.04
DYNC1LI2,1,0.04
ENPP1,1,0.04
FAM133B,1,0.04
FGL2,1,0.04
HMGB1,1,0.04
HNRNPH2,1,0.04
IDI1,1,0.04
IFRD1,1,0.04
KBTBD11,1,0.04
MCEMP1,1,0.04
MFSD1,1,0.04
MRFAP1L1,1,0.04
MTERF2,1,0.04
MYOM1,1,0.04
NFE2L2,1,0.04
NRBF2,1,0.04
PCF11,1,0.04
PLA2G7,1,0.04
PSMF1,1,0.04
RANBP6,1,0.04
RB1CC1,1,0.04
RBAK,1,0.04
SH3BP5L,1,0.04
SHISA4,1,0.04
SLC17A9,1,0.04
SMOX,1,0.04
STK4,1,0.04
TAOK3,1,0.04
TGOLN2,1,0.04
TMEM165,1,0.04
TMEM30A,1,0.04
TPCN2,1,0.04
TPR,1,0.04
TRIB3,1,0.04
TTC32,1,0.04
UCP2,1,0.04
UPF2,1,0.04
YES1,1,0.04
ZKSCAN1,1,0.04
ZNF226,1,0.04
ZNF26,1,0.04
ZNF740,1,0.04
ZNF763,1,0.04
ZNF830,1,0.04
