gene,freq_5of6,freq_6of6
SPG20,1.0,0.6666666666666666
TIGD7,1.0,0.7
UBXN2A,1.0,0.4666666666666667
CES1,1.0,0.6666666666666666
LOC728554,0.8,0.1
EGR1,0.7666666666666667,0.5666666666666667
MALAT1,0.7,0.36666666666666664
PNOC,0.6,0.5333333333333333
GIMAP8,0.4,0.1
TGFBR1,0.26666666666666666,0.03333333333333333
ZNF117,0.26666666666666666,0.13333333333333333
UCP2,0.1,0.1
LBR,0.1,0.03333333333333333
ESF1,0.1,0.0
TMEM2,0.03333333333333333,0.03333333333333333
SLC38A2,0.03333333333333333,0.0
