gene,freq_5of6,freq_6of6
TIGD7,1.0,0.5333333333333333
SPG20,1.0,0.7333333333333333
CES1,1.0,0.5666666666666667
UBXN2A,0.9,0.4
LOC728554,0.9,0.26666666666666666
EGR1,0.8,0.4
PNOC,0.8,0.7333333333333333
MALAT1,0.5333333333333333,0.3333333333333333
TGFBR1,0.26666666666666666,0.1
ZNF117,0.2,0.0
UCP2,0.16666666666666666,0.1
RIT1,0.06666666666666667,0.0
GIMAP8,0.03333333333333333,0.0
