gene,freq_5of6,freq_6of6
SPG20,1.0,0.7666666666666667
TIGD7,1.0,0.9333333333333333
CES1,0.9666666666666667,0.6333333333333333
LOC728554,0.9666666666666667,0.16666666666666666
MALAT1,0.9,0.6666666666666666
ZNF117,0.9,0.5333333333333333
EGR1,0.8,0.5333333333333333
UBXN2A,0.7333333333333333,0.26666666666666666
UCP2,0.4,0.26666666666666666
GIMAP8,0.2,0.0
PNOC,0.2,0.16666666666666666
CD79A,0.1,0.1
CPNE5,0.1,0.1
TGFBR1,0.1,0.03333333333333333
